# Min values: 183.7, 260.4, 197.3, 264.8, 241.0
# Max values: 325.8, 382.5, 285.0, 378.7, 439.8
# Starting CSV logging...
time_ms,raw0,raw1,raw2,raw3,raw4,gyroX_dps,gyroY_dps,gyroZ_dps,norm0,norm1,norm2,norm3,norm4,gestureID,Button
5050,329,370,340,386,367,30.664,-14.046,-2.855,1.0000,0.8973,1.0000,1.0000,0.6338,1,1
5103,331,371,340,386,367,41.725,-43.489,-18.695,1.0000,0.9055,1.0000,1.0000,0.6338,1,1
5151,333,371,341,385,367,47.527,-42.336,-20.855,1.0000,0.9055,1.0000,1.0000,0.6338,1,1
5200,337,373,342,385,366,85.649,-50.901,-27.168,1.0000,0.9219,1.0000,1.0000,0.6288,1,1
5253,340,374,342,384,363,77.099,-52.542,-26.771,1.0000,0.9301,1.0000,1.0000,0.6137,1,1
5300,342,374,342,383,360,63.954,-29.840,-23.237,1.0000,0.9301,1.0000,1.0000,0.5986,1,1
5353,343,374,343,382,357,8.053,-28.649,1.733,1.0000,0.9301,1.0000,1.0000,0.5835,1,1
5403,342,375,343,382,356,62.412,-8.435,-7.885,1.0000,0.9382,1.0000,1.0000,0.5785,1,1
5450,341,378,343,380,353,60.053,-16.405,-8.443,1.0000,0.9628,1.0000,1.0000,0.5634,1,1
5503,343,382,343,379,350,50.710,-2.847,-7.771,1.0000,0.9955,1.0000,1.0000,0.5483,1,1
5550,347,394,348,380,348,45.542,-7.076,-9.901,1.0000,1.0000,1.0000,1.0000,0.5382,1,1
5603,365,401,354,380,345,26.443,1.328,5.305,1.0000,1.0000,1.0000,1.0000,0.5231,1,1
5652,383,403,356,378,342,13.160,13.099,4.008,1.0000,1.0000,1.0000,0.9937,0.5080,1,1
5699,395,402,354,375,341,2.351,-0.359,18.603,1.0000,1.0000,1.0000,0.9673,0.5030,1,1
5753,402,400,350,371,341,22.336,13.130,13.099,1.0000,1.0000,1.0000,0.9322,0.5030,1,1
5800,405,398,346,369,341,-3.176,17.344,21.321,1.0000,1.0000,1.0000,0.9147,0.5030,1,1
5853,406,396,342,366,342,8.626,21.748,6.725,1.0000,1.0000,1.0000,0.8883,0.5080,1,1
5902,407,394,339,363,345,-10.443,11.573,19.443,1.0000,1.0000,1.0000,0.8620,0.5231,1,1
5949,407,394,337,362,344,32.786,5.435,-0.939,1.0000,1.0000,1.0000,0.8532,0.5181,1,1
6003,407,393,336,361,343,14.374,1.779,15.656,1.0000,1.0000,1.0000,0.8444,0.5130,1,1
6052,408,392,335,360,343,8.809,-1.160,6.618,1.0000,1.0000,1.0000,0.8356,0.5130,1,1
6103,408,391,334,359,342,13.550,-0.145,1.618,1.0000,1.0000,1.0000,0.8269,0.5080,1,1
6152,408,391,334,359,341,0.489,-0.947,1.855,1.0000,1.0000,1.0000,0.8269,0.5030,1,1
6199,408,391,334,359,341,6.870,5.580,-4.313,1.0000,1.0000,1.0000,0.8269,0.5030,1,1
6252,407,390,334,358,340,3.305,4.221,-1.298,1.0000,1.0000,1.0000,0.8181,0.4979,1,1
6302,407,390,333,358,341,1.466,2.603,-8.939,1.0000,1.0000,1.0000,0.8181,0.5030,1,1
6353,406,390,333,358,340,5.481,2.237,0.527,1.0000,1.0000,1.0000,0.8181,0.4979,1,1
6402,406,390,333,358,340,6.863,2.740,-2.641,1.0000,1.0000,1.0000,0.8181,0.4979,1,1
6451,405,389,333,358,340,2.565,2.443,1.527,1.0000,1.0000,1.0000,0.8181,0.4979,1,1
6502,404,389,333,358,340,1.794,1.603,-1.748,1.0000,1.0000,1.0000,0.8181,0.4979,1,1
6551,404,389,333,358,340,9.107,0.435,0.985,1.0000,1.0000,1.0000,0.8181,0.4979,1,1
6603,404,388,333,358,339,3.084,0.771,0.061,1.0000,1.0000,1.0000,0.8181,0.4929,1,1
6652,403,388,332,358,340,8.534,2.489,0.260,1.0000,1.0000,1.0000,0.8181,0.4979,1,1
6701,404,388,332,358,339,1.687,-0.885,-1.305,1.0000,1.0000,1.0000,0.8181,0.4929,1,1
6752,403,388,333,358,339,7.130,2.237,-0.878,1.0000,1.0000,1.0000,0.8181,0.4929,1,1
6801,404,388,332,358,339,-8.092,-0.878,-0.626,1.0000,1.0000,1.0000,0.8181,0.4929,1,1
6852,403,388,333,358,339,1.672,1.183,-1.893,1.0000,1.0000,1.0000,0.8181,0.4929,1,1
6902,400,387,333,358,338,-14.588,-8.000,-8.023,1.0000,1.0000,1.0000,0.8181,0.4879,1,1
6951,326,302,198,252,206,-1.214,0.099,-7.397,1.0000,0.3408,0.0075,0.0000,0.0000,1,0
7002,311,291,180,239,187,-6.191,-2.214,-5.397,0.8960,0.2507,0.0000,0.0000,0.0000,1,0
7049,297,292,181,242,186,-4.649,-1.809,-4.458,0.7975,0.2589,0.0000,0.0000,0.0000,1,0
7102,282,294,182,245,186,13.031,-10.015,-4.420,0.6920,0.2753,0.0000,0.0000,0.0000,1,0
7154,260,299,179,245,185,-16.817,6.809,-0.183,0.5372,0.3162,0.0000,0.0000,0.0000,1,0
7201,240,306,171,243,185,-14.664,0.794,-10.779,0.3965,0.3735,0.0000,0.0000,0.0000,1,0
7252,224,297,162,241,185,-51.710,38.183,3.191,0.2839,0.2998,0.0000,0.0000,0.0000,1,0
7301,214,270,160,237,184,-12.305,35.969,-8.824,0.2135,0.0789,0.0000,0.0000,0.0000,1,0
7352,205,250,159,237,184,-36.366,18.557,21.611,0.1502,0.0000,0.0000,0.0000,0.0000,1,0
7403,197,238,159,236,184,21.977,16.427,-13.252,0.0939,0.0000,0.0000,0.0000,0.0000,1,0
7451,193,232,159,236,186,6.000,8.618,-3.794,0.0658,0.0000,0.0000,0.0000,0.0000,1,0
7502,190,229,159,237,187,2.092,8.969,-10.947,0.0446,0.0000,0.0000,0.0000,0.0000,1,0
7553,187,226,159,238,188,2.038,4.985,-0.168,0.0235,0.0000,0.0000,0.0000,0.0000,1,0
7600,184,222,159,238,188,0.183,9.130,-1.779,0.0024,0.0000,0.0000,0.0000,0.0000,1,0
7651,182,215,159,237,186,-5.061,15.931,-4.290,0.0000,0.0000,0.0000,0.0000,0.0000,1,0
7702,179,206,160,236,185,-12.489,16.908,1.252,0.0000,0.0000,0.0000,0.0000,0.0000,1,0
7750,177,201,160,235,184,-4.031,8.305,-0.618,0.0000,0.0000,0.0000,0.0000,0.0000,1,0
7801,176,198,160,234,183,-20.656,10.031,4.710,0.0000,0.0000,0.0000,0.0000,0.0000,1,0
7852,174,196,160,233,183,-12.198,2.550,4.328,0.0000,0.0000,0.0000,0.0000,0.0000,1,0
7903,173,196,161,232,183,-27.229,5.534,12.878,0.0000,0.0000,0.0000,0.0000,0.0000,1,0
7950,172,196,162,232,182,19.260,10.878,-7.733,0.0000,0.0000,0.0000,0.0000,0.0000,1,0
8001,171,199,167,232,182,6.557,-3.496,1.443,0.0000,0.0000,0.0000,0.0000,0.0000,1,0
8053,170,211,171,233,181,25.733,3.733,-10.145,0.0000,0.0000,0.0000,0.0000,0.0000,1,0
8100,169,223,174,239,183,25.565,-8.656,-8.580,0.0000,0.0000,0.0000,0.0000,0.0000,1,0
8153,169,235,177,250,185,13.718,-5.198,-3.534,0.0000,0.0000,0.0000,0.0000,0.0000,1,0
8204,171,244,179,260,187,8.656,-5.634,-3.710,0.0000,0.0000,0.0000,0.0000,0.0000,1,0
8251,172,252,180,272,192,12.550,-3.893,-1.824,0.0000,0.0000,0.0000,0.0630,0.0000,1,0
